nomeMunicipio,dataCaso,confirmadosCaso,recuperadosCaso,obitosCaso,suspeitosCaso,descartadosCaso
Astolfo Dutra,2020-05-29,11,4,0,73,7
Astolfo Dutra,2020-06-03,14,6,1,150,8
Astolfo Dutra,2020-06-02,14,4,1,108,8
Astolfo Dutra,2020-06-01,14,4,1,81,8
Astolfo Dutra,2020-05-31,14,4,1,76,7
Astolfo Dutra,2020-05-30,13,4,0,74,7
Astolfo Dutra,2020-05-28,10,4,0,68,6
Astolfo Dutra,2020-05-27,9,2,0,68,5
Astolfo Dutra,2020-05-26,9,2,0,66,5
Astolfo Dutra,2020-05-25,9,2,0,64,5
Astolfo Dutra,2020-05-24,8,2,0,62,5
Astolfo Dutra,2020-05-23,8,2,0,60,5
Astolfo Dutra,2020-05-22,8,2,0,60,5
Astolfo Dutra,2020-05-21,8,1,0,58,5
Astolfo Dutra,2020-05-20,8,0,0,54,4
Astolfo Dutra,2020-05-19,6,0,0,50,4
Astolfo Dutra,2020-05-18,5,0,0,50,4
Astolfo Dutra,2020-05-17,5,0,0,50,4
Astolfo Dutra,2020-05-14,5,0,0,46,3
Astolfo Dutra,2020-05-13,3,0,0,39,3
Astolfo Dutra,2020-05-12,2,0,0,37,3
Astolfo Dutra,2020-05-09,2,0,0,30,3
Astolfo Dutra,2020-05-06,1,0,0,28,3
Astolfo Dutra,2020-05-05,0,0,0,28,3
Astolfo Dutra,2020-04-14,0,0,0,16,3
Astolfo Dutra,2020-04-11,0,0,0,16,2
Astolfo Dutra,2020-04-08,0,0,0,20,2
Astolfo Dutra,2020-04-06,0,0,0,52,2
Astolfo Dutra,2020-04-02,0,0,0,69,0
Astolfo Dutra,2020-03-30,0,0,0,43,0
Astolfo Dutra,2020-03-24,0,0,0,8,0
Astolfo Dutra,2020-03-23,0,0,0,5,0
Astolfo Dutra,2020-06-04,14,6,1,150,8
Astolfo Dutra,2020-06-05,16,7,1,153,8
Astolfo Dutra,2020-06-06,16,7,1,155,8
Astolfo Dutra,2020-06-07,16,7,1,156,8
Astolfo Dutra,2020-06-08,16,7,1,156,10
Astolfo Dutra,2020-06-09,16,7,1,158,11
Astolfo Dutra,2020-06-10,16,7,1,161,11
Astolfo Dutra,2020-06-11,16,10,1,163,11
Astolfo Dutra,2020-06-12,17,10,1,169,11
Astolfo Dutra,2020-06-13,17,12,1,170,12
Astolfo Dutra,2020-06-14,17,12,1,170,12
Astolfo Dutra,2020-06-15,17,12,1,176,12
Astolfo Dutra,2020-06-16,17,12,1,177,12
Astolfo Dutra,2020-06-17,17,12,1,177,12
Astolfo Dutra,2020-06-18,18,12,1,177,13
Astolfo Dutra,2020-06-19,18,15,1,181,13
Astolfo Dutra,2020-06-20,18,15,1,181,13
Astolfo Dutra,2020-06-21,18,15,1,182,13
Astolfo Dutra,2020-06-22,18,15,1,182,13
Astolfo Dutra,2020-06-23,18,15,1,184,13
Astolfo Dutra,2020-06-24,22,15,1,190,13
Astolfo Dutra,2020-06-25,22,15,1,190,13
Astolfo Dutra,2020-06-26,22,16,1,201,14
Astolfo Dutra,2020-06-27,22,16,1,201,14
Astolfo Dutra,2020-06-28,22,16,1,203,14
Astolfo Dutra,2020-06-29,22,16,1,211,14
Astolfo Dutra,2020-06-30,22,16,1,211,14
Astolfo Dutra,2020-07-01,22,16,1,211,14
Astolfo Dutra,2020-07-02,22,16,1,211,14
Astolfo Dutra,2020-07-03,22,20,1,222,14
Astolfo Dutra,2020-07-04,22,20,1,222,14
Astolfo Dutra,2020-07-05,22,20,1,223,14
Astolfo Dutra,2020-07-06,24,20,1,225,14
Astolfo Dutra,2020-07-07,25,21,1,245,14
Astolfo Dutra,2020-07-08,27,21,1,248,14
Astolfo Dutra,2020-07-09,31,21,1,270,14
Astolfo Dutra,2020-07-10,33,21,1,311,14
Astolfo Dutra,2020-07-11,34,24,1,313,14
Astolfo Dutra,2020-07-12,34,24,1,314,14
Astolfo Dutra,2020-07-13,36,25,1,341,14
Astolfo Dutra,2020-07-14,36,25,1,351,15
Astolfo Dutra,2020-07-15,39,30,1,354,16
Astolfo Dutra,2020-07-16,41,30,1,401,16
Astolfo Dutra,2020-07-17,47,30,2,410,16
Astolfo Dutra,2020-07-18,47,32,2,431,16
Astolfo Dutra,2020-07-19,47,32,2,431,16
Astolfo Dutra,2020-07-20,54,34,2,453,16
Astolfo Dutra,2020-07-21,56,36,2,461,16
Astolfo Dutra,2020-07-22,57,36,2,472,16
Astolfo Dutra,2020-07-23,60,36,2,475,20
Astolfo Dutra,2020-07-24,60,47,2,501,20
Astolfo Dutra,2020-07-25,60,47,2,501,20
Astolfo Dutra,2020-07-26,60,47,2,501,20
Astolfo Dutra,2020-07-27,63,47,2,514,21
Astolfo Dutra,2020-07-28,65,53,2,531,21
Astolfo Dutra,2020-07-29,69,59,2,551,21
Astolfo Dutra,2020-07-30,70,60,2,561,21
Astolfo Dutra,2020-07-31,72,60,2,581,21
Astolfo Dutra,2020-08-01,72,60,2,581,21
Astolfo Dutra,2020-08-02,72,60,2,581,21
Astolfo Dutra,2020-08-03,73,62,2,591,21
Astolfo Dutra,2020-08-04,74,66,2,601,21
Astolfo Dutra,2020-08-05,77,66,2,601,21
Astolfo Dutra,2020-08-06,78,69,2,621,21
Astolfo Dutra,2020-08-07,80,70,2,641,21
Astolfo Dutra,2020-08-08,81,70,2,641,21
Astolfo Dutra,2020-08-09,81,70,2,641,21
Astolfo Dutra,2020-08-10,83,76,2,651,21
Astolfo Dutra,2020-08-11,85,76,2,661,21
Astolfo Dutra,2020-08-12,86,76,2,661,21
Astolfo Dutra,2020-08-13,88,79,3,671,21
Astolfo Dutra,2020-08-14,91,81,3,681,21
Astolfo Dutra,2020-08-15,91,81,3,681,21
Astolfo Dutra,2020-08-16,91,81,3,681,21
Astolfo Dutra,2020-08-17,91,83,3,751,21
Astolfo Dutra,2020-08-18,93,83,3,761,21
Astolfo Dutra,2020-08-19,95,86,3,771,21
Astolfo Dutra,2020-08-20,96,86,3,773,21
Astolfo Dutra,2020-08-21,96,86,3,773,21
Astolfo Dutra,2020-08-22,97,86,3,773,21
Astolfo Dutra,2020-08-23,97,86,3,773,21
Astolfo Dutra,2020-08-24,101,92,3,881,21
Astolfo Dutra,2020-08-25,103,92,3,883,21
Astolfo Dutra,2020-08-26,107,95,4,883,23
Astolfo Dutra,2020-08-27,108,95,4,883,23
Astolfo Dutra,2020-08-28,110,100,4,885,28
Astolfo Dutra,2020-08-29,110,100,4,885,29
Astolfo Dutra,2020-08-30,110,100,4,885,29
Astolfo Dutra,2020-08-31,113,101,4,893,29
Astolfo Dutra,2020-09-01,114,106,4,901,33
Astolfo Dutra,2020-09-02,116,107,4,903,33
Astolfo Dutra,2020-09-03,121,108,4,908,33
Astolfo Dutra,2020-09-04,123,110,4,941,33
Astolfo Dutra,2020-09-05,123,110,4,941,34
Astolfo Dutra,2020-09-06,123,110,4,941,34
Astolfo Dutra,2020-09-07,123,110,4,941,34
Astolfo Dutra,2020-09-08,123,112,4,941,34
Astolfo Dutra,2020-09-09,124,113,4,951,34
Astolfo Dutra,2020-09-10,127,113,4,955,34
Astolfo Dutra,2020-09-12,133,116,4,971,35
Astolfo Dutra,2020-09-13,133,116,4,971,35
Astolfo Dutra,2020-09-14,136,127,4,981,38
Astolfo Dutra,2020-09-17,139,129,4,1051,40
Astolfo Dutra,2020-09-18,142,129,4,1062,46
Astolfo Dutra,2020-09-20,142,129,4,1062,46
Astolfo Dutra,2020-09-21,143,133,4,1069,49
Astolfo Dutra,2020-09-22,143,133,4,1069,49
Astolfo Dutra,2020-09-23,144,133,4,1075,49
Astolfo Dutra,2020-09-25,144,133,4,1076,49
Astolfo Dutra,2020-09-26,144,135,4,1076,49
Astolfo Dutra,2020-10-02,150,144,4,1108,54
Astolfo Dutra,2020-10-04,150,145,4,1108,54
Astolfo Dutra,2020-10-10,156,146,4,1151,57
Astolfo Dutra,2020-10-11,156,147,4,1151,57
Astolfo Dutra,2020-10-14,157,153,4,1151,58
Astolfo Dutra,2020-10-16,158,153,4,1180,58
Astolfo Dutra,2020-10-26,163,155,4,1221,60
